id,question,category
train_0032,Trong video có xuất hiện biển cấm không?,biển báo
train_0033,Có mấy loại vạch kẻ đường?,làn đường
train_0034,Trong video này có xuất hiện đèn đỏ không?,đèn giao thông
train_0035,Trong video có biển chỉ dẫn rẽ trái không?,biển báo
train_0036,làn ngoài cùng bên phải xe mô tô có được phép đi không?,"biển báo, làn đường"
train_0037,"Trong video, làn ngoài cùng bên phải là dành cho loại phương tiện nào?",làn đường
train_0038,Trong video biển báo tốc độ tối đa cho phép là bao nhiêu?,biển báo
train_0039,Làn xe đang đi có đèn đỏ không?,"làn đường, đèn giao thông"
train_0040,Xe mô tô có được phép đi ở làn này không?,"biển báo, làn đường"
train_0041,Làn mà xe đang đi dành cho loại phương tiện nào?,làn đường
train_0042,Trong video xuất hiện những biển báo cấm nào?,biển báo
train_0043,Trong video có xuất hiện biển cảnh báo không?,biển báo
train_0044,Trong video xuất hiện biển báo nguy hiểm nào?,biển báo
train_0045,"Trong video, biển cấm nào xuất hiện đầu tiên?",biển báo
train_0046,"Trong video, biển cấm đi ngược chiều xuất hiện đầu tiên, đúng hay sai?",biển báo
train_0047,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0048,Loại biển báo nào sau đây xuất hiện trong video?,biển báo
train_0049,Biển báo nào sau đây xuất hiện trong video?,biển báo
train_0050,Có những biển chỉ dẫn nào trong video?,biển báo
train_0051,Xe đang đi trên làn hiện tại có được quay đầu không?,làn đường
train_0052,"Dựa vào video, xe ở làn nào (tính từ trái sang phải) được phép đi thẳng thẳng?","biển báo, làn đường"
train_0053,Trong video có biển chỉ dẫn trạm xăng không?,biển báo
train_0054,Xe ở làn đường hiện tại được đi những hướng nào?,"biển báo, làn đường"
train_0055,Tốc độ tối đa xe ô tô được phép chạy trên làn đường này là bao nhiêu?,"biển báo, làn đường"
train_0056,"Tốc độ tối đa xe ô tô được phép chạy trên làn đường này là 80 km/h, đúng hay sai?","biển báo, làn đường"
train_0057,Trong video xuất hiện những loại biển báo nào? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0058,"Trong video, cụm vạch kẻ nằm ngang trên làn đường đang chạy có ý nghĩa gì?",làn đường
train_0059,"Trong video, các phương tiện có thể đi theo các hướng nào?",biển báo
train_0060,"Biển báo trong video hướng dẫn các phương tiện có thể quay đầu, đúng hay sai?",biển báo
train_0061,"Theo biển chỉ dẫn, các phương tiện giao thông trên làn đường ngoài cùng bên phải được phép đi theo hướng nào khi đến nút giao?","biển báo, làn đường"
train_0062,Nếu xe ô tô đang chạy ở làn ngoài cùng bên trái thì khi đến nút giao được phép đi thẳng hoặc quay đầu xe đúng hay sai?,"biển báo, làn đường"
train_0063,Biển cảnh báo nguy hiểm trên làn đường đang chạy có ý nghĩa gì?,"biển báo, làn đường"
train_0064,Trong video có xuất hiện đèn đỏ không?,đèn giao thông
train_0065,"Trong video, đèn xanh áp dụng cho loại phương tiện nào?",đèn giao thông
train_0066,Phương tiện trong video vừa đi ngang qua địa điểm nào?,biển báo
train_0067,Trong video có xuất hiện biển báo cấm không?,biển báo
train_0068,"Trong video này, các phương tiện dưới 2,2m có được phép đi qua làn đường này không?","biển báo, làn đường"
train_0069,"Trong video này, chiều cao giới hạn của phương tiện khi đi qua làn đường này là bao nhiêu?","biển báo, làn đường"
train_0070,Phương tiện trong video vừa đi ngang qua địa điểm nào?,biển báo
train_0071,"Phương tiện trong video đang di chuyển trong hầm chui, đúng hay sai?",biển báo
train_0072,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0073,2 biển báo đầu làn đường là gì?,"biển báo, làn đường"
train_0074,Phương tiện phía trước được phép đi các hướng nào trong trường hợp trên?,biển báo
train_0075,Video có xuất hiện đèn giao thông không?,đèn giao thông
train_0076,Kể tên một số loại biển báo xuất hiện trong video?,biển báo
train_0077,Những loại biển báo nào sau đây xuất hiện trong video? (Chọn câu trả lời đẩy đủ nhất),biển báo
train_0078,Làn đường của xe máy có những biển báo nào?,"biển báo, làn đường"
train_0079,"Video tại khu vực giao thông đường nội khu, đúng hay sai?",làn đường
train_0080,Xe ô tô trong video có được quẹo trái tại nút giao không?,biển báo
train_0081,Làn xe đang đi dành cho phương tiện nào?,làn đường
train_0082,Trên làn đường đang chạy xuất hiện những biển báo cấm nào?,"biển báo, làn đường"
train_0083,Hướng đi cao tốc là hướng nào?,biển báo
train_0084,Biển cấm rẽ phải trong video áp dụng cho mọi loại phương tiện đúng hay sai?,biển báo
train_0085,Hướng vào đường cao tốc là hướng đi thẳng đúng hay sai?,"biển báo, làn đường"
train_0086,Biển hiệu lệnh rẽ phải áp dụng cho loại phương tiện nào?,biển báo
train_0087,Biển báo cấm trên làn đường ngoài cùng bên phải là gì?,"biển báo, làn đường"
train_0088,Biển báo trong video là loại biển báo gì?,biển báo
train_0089,Biển báo đầu tiên xuất hiện trong video là loại biển báo gì?,biển báo
train_0090,Trong video phương tiện cơ giới có được vượt nhau sau khi đi qua biển báo đầu tiên không?,biển báo
train_0091,Biển báo đầu tiên trong video là loại biển báo gì?,biển báo
train_0092,Trong video có những biển báo gì?,biển báo
train_0093,"Trong video xuất hiện biển báo nguy hiểm, đúng hay sai?",biển báo
train_0094,Trong video có những biển báo gì?,biển báo
train_0095,"Trong video có biển chỉ dẫn trạm cấp cứu và phân chia làn đường xe, đúng hay sai?","biển báo, làn đường"
train_0096,Xe hiện tại có được phép chuyển làn hay không?,"biển báo, làn đường"
train_0097,Nếu bạn đang di chuyển trên đường chính và có xe máy từ trong ngõ đi r,"biển báo, làn đường"
train_0098,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0099,Có mấy loại biển báo xuất hiện trong video?,biển báo
train_0100,"Trong video, loại xe nào không quy định trong biển phân làn?","biển báo, làn đường"
train_0101,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0102,Xe đang đi đúng làn đường không?,làn đường
train_0103,Trong video xuất hiện biển báo nào?,biển báo
train_0104,Biển báo xuất hiện đầu tiên trong video có ý nghĩa gì?,biển báo
train_0105,Biển báo hiện tại có ý nghĩa gì?,biển báo
train_0106,Đoạn đường trong video này có biển báo cấm không?,"biển báo, làn đường"
train_0107,Biển tam giác viền đỏ trong video có ý nghĩa gì?,biển báo
train_0108,"Trong video, sau khi đi qua khỏi biển báo thì phương tiện có được di chuyển với tốc độ 70 km/h không?",biển báo
train_0109,Biển báo trong video là loại biển nào?,biển báo
train_0110,Biển báo xuất hiện thứ 2 trong video này có ý nghĩa gì?,biển báo
train_0111,"Trong video này, làn đường đang chạy có phải đường cao tốc không?",làn đường
train_0112,"Trong video này, biển báo tốc độ nằm bên phải đường yêu cầu phương tiện phải tuân thủ điều gì?","biển báo, làn đường"
train_0113,"Biển báo tốc độ nằm bên phải đường yêu cầu phương tiện phải tuân thủ giới hạn tốc độ tối đa là 120 km/h, đúng hay sai?","biển báo, làn đường"
train_0114,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0115,Biển báo màu xanh lá cây trong video này có ý nghĩa gì?,biển báo
train_0116,"Trong video này, xe đang chạy còn cách cầu vượt đường sắt 200m đúng hay sai?",làn đường
train_0117,Đoạn đường trong video này có nút giao có đèn tín hiệu không?,"làn đường, đèn giao thông"
train_0118,Biển tam giác vàng viền đỏ cảnh báo điều gì?,biển báo
train_0119,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất,biển báo
train_0120,"Trong video, biển báo đầu tiên nằm bên phải đoạn đường yêu cầu các phương tiện phải giữ điều kiện gì?","biển báo, làn đường"
train_0121,"Trong video, biển báo đầu tiên nằm bên phải đoạn đường yêu cầu các phương tiện phải giữ giới hạn tốc độ tối đa 90 km/h, phải không?","biển báo, làn đường"
train_0122,Biển báo 80 trong video là biển báo trọng lượng tối đúng hay sai?,biển báo
train_0123,"Trong video, biển báo tốc độ xuất hiện bên phải đường yêu cầu phương tiện phải tuân thủ điều kiện gì?","biển báo, làn đường"
train_0124,"Theo các biển chỉ dẫn xuất hiện trong video, người lái xe được cung cấp những thông tin nào dưới đây?",biển báo
train_0125,"Trong video, theo biển báo chỉ dẫn hướng đi thẳng có phải là về TP HCM không?",biển báo
train_0126,Biển chỉ dẫn trạm thu phí yêu cầu người lái xe phải làm gì?,biển báo
train_0127,Biển báo tốc độ xuất hiện trong video yêu cầu phương tiện phải tuân thủ điều kiện nào?,biển báo
train_0128,"Trong video, biển báo tốc độ yêu cầu phương tiện phải tuân thủ giới hạn tốc độ tối đa 80 km/h, phải không?",biển báo
train_0129,"Khi gặp biển báo bên tay phải, tài xế cần điểu khiển xe:",biển báo
train_0130,"Trong video này, có biển báo nguy hiểm không?",biển báo
train_0131,Khoảng cách cần giữ đối với xe trước là bao nhiêu?,biển báo
train_0132,Xe có đi trên làn thu phí ETC không?,làn đường
train_0133,Làn xe thứ hai tính từ phải qua dành cho phương tiện nào?,làn đường
train_0134,Có các loại biển báo nào xuất hiện trong video?,biển báo
train_0135,Xe chạy với tốc độ 90km/h trên đoạn đường này có vi phạm luật giao thông không?,"biển báo, làn đường"
train_0136,Có tổng cộng bao nhiêu biển báo?,biển báo
train_0137,Biển báo xuất hiện đầu tiên trong video thuộc loại biển báo nào?,biển báo
train_0138,Xe sắp đi đến đoạn đường ngoặt trái đúng không?,làn đường
train_0139,"Trong video biển báo đầu tiên bên phải là biển báo cấm đỗ xe, đúng hay sai?",biển báo
train_0140,Trong video có tổng bao nhiêu biển báo?,biển báo
train_0141,Trong video có bao nhiêu loại biển báo?,biển báo
train_0142,Đường có 3 làn phải không?,làn đường
train_0143,"Trong video này, xe được đi với tốc độ bao nhiêu?",biển báo
train_0144,Trong video có bao nhiêu loại biển báo?,biển báo
train_0145,"Trong video này, Vũng Tàu còn cách 54km so với vị trí xe đang chạy đúng hay sai?",biển báo
train_0146,Biển chỉ dẫn trên đường cao tốc xuất hiện trong video đúng hay sai?,"biển báo, làn đường"
train_0147,Trong video xuất hiện bao nhiêu biển báo nguy hiểm?,biển báo
train_0148,Ý nghĩa của biển cảnh báo là gì?,biển báo
train_0149,Trong video cần rẽ trái để đi đến H.Xuân Lộc?,biển báo
train_0150,"Trong video, biển báo đầu tiên bên phải là loại biển báo gì?",biển báo
train_0151,Các biển báo trong video thuộc loại nào,biển báo
train_0152,Đi theo bảng chỉ dẫn sẽ dẫn tới huyện nào?,biển báo
train_0153,Đi theo bảng chỉ dẫn sẽ dẫn tới huyện Cẩm Mỹ và huyện Xuân Lộc,biển báo
train_0154,Các biển báo trong video thuộc loại biển báo gì?,biển báo
train_0155,Các biển màu xanh lá trong video dùng để làm mốc căn khoảng cách với các xe phía trước đúng hay sai?,biển báo
train_0156,Đi Phan Thiết - Dầu Giây thì rẽ phải đúng hay sai?,biển báo
train_0157,"Trong video, đi theo lối ra thì tốc độ tối đa được phép là bao nhiêu?",biển báo
train_0158,Các loại biển báo trong video là những loại nào?,biển báo
train_0159,Biển báo tốc độ tối đa cho phép trong video là bao nhiêu?,biển báo
train_0160,"Trong video đi theo lối ra tốc độ tối đa cho phép các phương tiện lưu thông trên đoạn đường này là 120km/h, đúng hay sai?","biển báo, làn đường"
train_0161,"Biển báo trong video, còn mấy km nữa sẽ đến trạm dịch vụ?",biển báo
train_0162,"Trong video, biển báo nguy hiểm ""Hạn chế chiều cao"" bao nhiêu mét?",biển báo
train_0163,"Theo biển báo các phương tiện không được phép di chuyển với tốc độ dưới 80 km/h, đúng hay sai?",biển báo
train_0164,"Trong video, hướng di chuyển sang cao tốc Phan Thiết Dầu Dây thì đi hướng nào?",biển báo
train_0165,"Trong video, nếu oto rẽ phải thì tốc độ tối đa cho phép là bao nhiêu",biển báo
train_0166,Nội dung của 2 biển báo nguy hiểm xuất hiện trong video là gì?,biển báo
train_0167,Trong video không xuất hiện loại biển báo nào sau đây?,biển báo
train_0168,"Trong video, có xuất hiện biển báo hiệu lệnh không?",biển báo
train_0169,Biển báo trên cầu xuất hiện trong video thuộc loại biển bảo nào và có ý nghĩa gì?,biển báo
train_0170,Biển báo nào sau đây đã xuất hiện trong video?,biển báo
train_0171,Có những biển báo nào xuất hiện trong video?,biển báo
train_0172,Nội dung của biển báo cấm và biển báo nguy hiểm trong video lần lượt là gì?,biển báo
train_0173,Có mấy loại biển báo xuất hiện trong video?,biển báo
train_0174,"Trong video, có xuất hiện biển báo cấm rẽ trái đúng không?",biển báo
train_0175,"Trong video, tốc độ tối thiểu trên đoạn đường này là bao nhiêu?","biển báo, làn đường"
train_0176,"Trong video, tốc độ tối đa của làn trong cung bên phải là 60 km/h đúng không?","biển báo, làn đường"
train_0177,Tốc độ tối đa mà xe được lưu thông là bao nhiêu?,biển báo
train_0178,Tốc độ tối thiểu được cho phép lưu thông trên cao tốc như trong video là bao nhiêu?,biển báo
train_0179,Hướng đi Vũng Tàu là đi thẳng đúng hay sai?,biển báo
train_0180,Xe đi trên làn đường hiện tại có được đi 60km/h không?,làn đường
train_0181,Biển báo nào sau đây xuất hiện trong video?,biển báo
train_0182,Có những biển báo nào xuất hiện trong video,biển báo
train_0183,"Trong video này, biển báo cấm đầu tiên bên tay phải mang ý nghĩa gì?",biển báo
train_0184,"Theo biển báo như trong video, phương tiện được phép lưu thông trên tuyến đường này phải tuân thủ quy định nào về tốc độ?","biển báo, làn đường"
train_0185,"Theo biển báo như trong video, phương tiện được phép lưu thông trên tuyến đường này phải tuân thủ quy định không được chạy quá 120 km/h và không được dưới 60 km/h. Đúng hay sai?","biển báo, làn đường"
train_0186,Biển báo lớn màu xanh lá cho biết những thông tin gì?,biển báo
train_0187,Khoảng cách giữa cách biển báo xanh lá từ biển đầu tiên tới biển thứ 3 là bao nhiêu m?,biển báo
train_0188,Phía trước có biển báo chỗ ngoặt nguy hiểm vòng bên phải đúng không?,biển báo
train_0189,Biển báo nguy hiểm xuất hiện trong video có ý nghĩa gì?,biển báo
train_0190,Biển báo nguy hiểm xuất hiện trong video cảnh báo người lái phía trước có chỗ ngoặt nguy hiểm vòng ở bên trái.,biển báo
train_0191,"Trong trường hợp không xảy ra tai nạn, sự cố khẩn cấp thì mình có được điện thoại vào số điện thoại khẩn cấp trên biển báo hay không?",biển báo
train_0192,Biển báo xuất hiện đầu tiên trong video dùng để làm gì?,biển báo
train_0193,Các biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0194,Trong video có xuất hiện biển báo cấm hay không?,biển báo
train_0195,Trong video xuất hiện biển báo nào?,biển báo
train_0196,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0197,Trong video có biển báo nào?,biển báo
train_0198,"Trong video có biển báo cấm, đúng hay sai?",biển báo
train_0199,"Trong video, có phải xuất hiện biển chỉ dẫn giữ khoảng cách lái xe an toàn và biển căn khoảng cách giữa các xe trên cao tốc không?",biển báo
train_0200,Biển báo nào sau đây xuất hiện trong video?,biển báo
train_0201,"Trong video, biển cảnh báo nào xuất hiện đầu tiên?",biển báo
train_0202,"Trong video, biển cảnh báo xuất hiện đầu tiên là biển báo giảm tốc độ, đúng hay sai?",biển báo
train_0203,"Trong video, biển báo xuất hiện ở làn đường bên phải thuộc loại biển báo gì?","biển báo, làn đường"
train_0204,"Trong video, biển báo xuất hiện ở làn đường bên phải có phải thuộc loại biển hiểu lệnh không?","biển báo, làn đường"
train_0205,Nội dung biển báo treo trên cầu vượt trong video là gì?,biển báo
train_0206,"Theo nội dung biển báo cấm trong video, xe tải có chiều cao 4m không thể đi qua bên dưới cầu vượt đúng không ?",biển báo
train_0207,Biển báo xuất hiện đầu tiên trong video có phải là biển chỉ dẫn số điện thoại khẩn cấp không?,biển báo
train_0208,Biển báo xuất hiện đầu tiền trong video là biển báo gì?,biển báo
train_0209,Hai biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0210,"Biển báo trong video là biển báo cấm đi ngược chiều, đúng hay sai?",biển báo
train_0211,"Trong video, biển báo nào xuất hiện đầu tiên?",biển báo
train_0212,"Trong video, biển báo giới hạn tốc độ tối đa xuất hiện đầu tiên, đúng hay sai?",biển báo
train_0213,Các biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0214,"Biển báo trong video là biển báo cấm, đúng hay sai?",biển báo
train_0215,Biển báo trong video là biển báo gì?,biển báo
train_0216,Nội dung biển báo là gì?,biển báo
train_0217,Xe có đang chuyển làn không?,làn đường
train_0218,Ý nghĩa biển báo là gì?,biển báo
train_0219,"Trong video, các phương tiện có thể chuyển sang làn trái ở đoạn đường đang chạy không?","biển báo, làn đường"
train_0220,"Khi xảy ra sự cố, lái xe phải liên hệ với số điện thoại trên biển báo đúng hay sai?",biển báo
train_0221,Nội dung biển báo là gì?,biển báo
train_0222,"Khi thấy biển báo chỉ dẫn kèm thông tin khoảng cách 750m, người lái xe cần hiểu như thế nào?",biển báo
train_0223,Biển báo trong video này là biển báo trên đường cao tốc đúng không?,"biển báo, làn đường"
train_0224,Xe đang chạy đúng làn đường không?,làn đường
train_0225,"Nếu rẽ phải theo biển chỉ dẫn trong video, người lái xe sẽ gặp gì?",biển báo
train_0226,Đoạn đường trong video này có xuất hiện nút giao không?,làn đường
train_0227,Biển báo trong video báo hiệu điều gì?,biển báo
train_0228,Biển tốc độ tối đa cho phép chỉ áp dụng cho xe tải đúng hay sai?,biển báo
train_0229,Đoạn đường trong video có tốc độ tối đa cho phép là bao nhiêu?,"biển báo, làn đường"
train_0230,"Trong video này, đoạn đường phía trước có công trường thi công đúng hay sai?",làn đường
train_0231,Biển chữ nhật màu xanh lá cây ở cuối video báo hiệu điều gì?,biển báo
train_0232,Biển báo đường thu hẹp trong video cảnh báo điều gì?,"biển báo, làn đường"
train_0233,Biển báo tốc độ tối đa cho phép trong video là 50 đúng hay sai?,biển báo
train_0234,Biển báo tam giác trong video có ý nghĩa gì?,biển báo
train_0235,"Trong video, biển báo hình tam giác có ý nghĩa là có công trình đang thi công phía trướ",biển báo
train_0236,Biển báo trong video cho biết nút giao Long Thành cách bạn bao nhiêu mét?,biển báo
train_0237,"Trong video không xuất hiện loại biển báo nào, đúng hay sai?",biển báo
train_0238,Có bao nhiêu nhóm biển báo khác nhau trong video?,biển báo
train_0239,"Trong video, tốc độ tối đa ở lối ra là 100 km/h đúng hay sai?",biển báo
train_0240,Biển báo đầu tiên xuất hiện là biển báo gì?,biển báo
train_0241,"Biển báo đầu tiên xuất hiện là biển báo hạn chế trọng lượng, đúng hay sai?",biển báo
train_0242,"Ở cuối video, biển báo hình chữ nhật đứng là biển báo gì?",biển báo
train_0243,"Số điện thoại khẩn cấp trong biển báo quy định chỉ dành cho xe có trọng lượng trên 2,5 tấn, đúng hay sai?",biển báo
train_0244,Biển báo ở cuối video là biển báo gì?,biển báo
train_0245,Biển báo ở cuối video là biển báo căn khoảng cách trên cao tốc phải không?,biển báo
train_0246,Biển báo tròn trên cầu trong video là biển báo gì?,biển báo
train_0247,"Trong video, biển báo cấm trên cầu là biển báo hạn chế chiều cao 4 m, phải không?",biển báo
train_0248,"Trong video, 250m nữa từ biển bão sẽ đến đoạn đường cho xe nhập làn vào cao tốc đúng không?","biển báo, làn đường"
train_0249,Biển báo xanh lá trong video là biển báo gì?,biển báo
train_0250,"Trong video, biển báo cấm xe tải xuất hiện đầu tiên, đúng hay sai?",biển báo
train_0251,"Trong video, biển báo nào sau đây xuất hiện?",biển báo
train_0252,"Trong video, biển báo đầu tiên thuộc loại biển trên đường cao tố","biển báo, làn đường"
train_0253,Trong video biển báo đầu tiên bao gồm những biển báo gì?,biển báo
train_0254,"Trong video, biển báo đầu tiên xuất hiện là biển chỉ dẫn số điện thoại khẩn cấp. Đúng hay sai?",biển báo
train_0255,"Trong video, biển báo đầu tiên xuất hiện là biển báo gì?",biển báo
train_0256,Biển báo xuất hiện trong video là loại biển báo cấm. Đúng hay sai?,biển báo
train_0257,Biển báo xuất hiện trong video là loại biển báo gì?,biển báo
train_0258,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0259,Biển báo trong video có ý nghĩa gì?,biển báo
train_0260,Biển báo trong video có ý nghĩa là biển chỉ dẫn vị trí dừng khẩn cấp trên đường cao tố,"biển báo, làn đường"
train_0261,Biển báo màu xanh lá trên đường cao tốc xuất hiện trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0262,Biển báo màu xanh lá trên đường cao tốc xuất hiện trong video có ý nghĩa là biển chỉ dẫn vị trí các điểm dừng khẩn cấp trên tuyến cao tố,"biển báo, làn đường"
train_0263,Ý nghĩa các biển báo là gì?,biển báo
train_0264,"Trong video, tại thời điểm xe đang ở vị trí biển 0m cách xe container phía trước 50m đúng không?",biển báo
train_0265,Ý nghĩa biển báo thứ hai là gì?,biển báo
train_0266,Ý nghĩa của các biển báo là gì?,biển báo
train_0267,"Trong video, tại thời điểm xe đang ở vị trí biển 0m cách xe container phía trước 50m đúng không?",biển báo
train_0268,Ý nghĩa của các biển báo trên là gì?,biển báo
train_0269,"Trong video, tại thời điểm xe đang ở vị trí biển 0m cách xe container phía trước 50m đúng không?",biển báo
train_0270,"Biển báo chiều cao tĩnh không thực tế trong video quy định cho phương tiện xe 2 bánh, đúng hay sai?",biển báo
train_0271,Tên gọi chính xác của biển báo trong video là gì?,biển báo
train_0272,Có bao nhiêu biển báo giao thông xuất hiện trong video?,biển báo
train_0273,Có 2 biển báo giao thông xuất hiện trong video. Đúng hay sai?,biển báo
train_0274,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0275,"Trên đoạn đường này, hai biển báo tốc độ tối đa cho phép lần lượt là bao nhiêu?","biển báo, làn đường"
train_0276,"Trên đoạn đường này, hai biển báo tốc độ tối đa cho phép lần lượt là bao nhiêu?","biển báo, làn đường"
train_0277,"Trên đoạn đường này, hai biển báo tốc độ tối đa cho phép lần lượt là 70 km/h và 90 km/h. Đúng hay sai?","biển báo, làn đường"
train_0278,Loại biển báo xuất hiện nhiều nhất trong video là loại biển báo nào?,biển báo
train_0279,Hai biển báo cấm loại phương tiện nào?,biển báo
train_0280,Loại biển báo xuất hiện nhiều nhất trong video là biển báo phụ. Đúng hay sai?,biển báo
train_0281,ó 3 loại biển báo trong video. Đúng hay sai?,biển báo
train_0282,Có bao nhiêu loại biển báo trong video?,biển báo
train_0283,Các biển báo cấm nào xuất hiện trong video? Lựa chọn đáp án đầy đủ và chính xác nhất.,biển báo
train_0284,Loại phương tiện nào được quay đầu xe trên đoạn đường trong video?,làn đường
train_0285,Xe đang chạy có đúng làn đường không?,làn đường
train_0286,Biển báo xuất hiện trong video có ý nghĩa gì?,biển báo
train_0287,Biển báo xuất hiện trong video báo hiệu khu vực có trạm thu phí đường cao tố,"biển báo, làn đường"
train_0288,Có 3 biển báo giao thông trong video. Đúng hay sai?,biển báo
train_0289,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0290,Có bao nhiêu biển báo giao thông trong video?,biển báo
train_0291,Chọn đáp án đầy đủ và chính xác nhất về các biển báo xuất hiện trong video?,biển báo
train_0292,Có bao nhiêu biển báo trong video?,biển báo
train_0293,Có 4 biển báo trong video. Đúng hay sai?,biển báo
train_0294,"Trong video, lối ra tiếp theo cách 1km nữa đúng không?",biển báo
train_0295,Ý nghĩa biển báo đầu tiên là gì?,biển báo
train_0296,Biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0297,Biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0298,Lối ra tiếp theo cách 500m đúng hay sai?,biển báo
train_0299,Các biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0300,"Trong video, muốn ra khỏi cao tốc thì rẽ phải đúng không?",biển báo
train_0301,Ý nghĩa của các biển báo là gì?,biển báo
train_0302,Biển báo đầu tiên trong video thuộc nhóm biển báo nào?,biển báo
train_0303,Có bao nhiêu nhóm biển báo trong video?,biển báo
train_0304,Ý nghĩa của hai biển báo nguy hiểm và biển báo phụ là gì?,biển báo
train_0305,"Trong video, tốc độ tối đa trên làn đường lối ra là bao nhiêu?","biển báo, làn đường"
train_0306,Có những nhóm biển nào trong video?,biển báo
train_0307,Xe đi với vận tốc 55km/h trên làn đường hiện tại được không?,làn đường
train_0308,Tốc độ tối đa cho làn đang chạy là bao nhiêu?,"biển báo, làn đường"
train_0309,Biển báo nguy hiểm này có ý nghĩa như thế nào ?,biển báo
train_0310,Có những nhóm biển nào trong video?,biển báo
train_0311,Biển báo hình tròn trong video là biển báo gì?,biển báo
train_0312,Xe đến khu công nghiệp Cát Lái đi hướng nào?,biển báo
train_0313,"Trong video ,hướng di chuyển đến cầu Phú Mỹ đi hướng nào?",biển báo
train_0314,Xe muốn đi đến đâu thì phải quay đầu lại?,Khác
train_0315,Trong video có xuất hiện biển cảnh báo không?,biển báo
